Date,State,Dead,Injured,Total,Description
05/07/2019,Arkansas,4,0,4,"Four people were found deceased at a home in an apparent murder–suicide. The deaths consisted of two young males, and one middle aged female, not including the perpetrator who killed himself afterwards."
05/07/2019,Massachusetts,0,6,6,Six people were wounded in Boston's Roxbury neighborhood.
04/07/2019,Illinois,1,3,4,"One man was killed and three were wounded, after a suspect opened fire from a vehicle."
04/07/2019,California,0,4,4,"Four people, including a 15-year-old girl were wounded, after two perpetrators opened fire in the Historic South-Central neighborhood."
04/07/2019,Illinois,0,4,4,Four people were wounded after an argument escalated.
04/07/2019,California,1,3,4,One person was killed and three were injured after gunfire erupted at an Independence Day celebration.
03/07/2019,Texas,2,3,5,The perpetrator shot and killed his sister and three others at a housewarming party. He later died at a hospital.
02/07/2019,Illinois,0,4,4,"A 16-year-old, 12-year-old and an adult were injured when an argument over fireworks escalated. The perpetrator was shot by a by-stander."
02/07/2019,Missouri,0,4,4,Four people were injured in a drive-by shooting just before midnight near a local food store.
01/07/2019,Maryland,0,4,4,"Four women were injured after a suspect opened fire on them, two were discovered by police, the others privately entered the hospital."
30/06/2019,California,0,4,4,A 12-year-old boy and two adults were injured in a shooting outside of an apartment complex.
30/06/2019,California,0,5,5,Five people were wounded after a fight escalated in a mobile home park after a BBQ.
30/06/2019,Texas,2,2,4,Two teenagers were killed and two were wounded in a drive-by shooting near a playground.
30/06/2019,New York,0,6,6,Six people were shot at a house party.
29/06/2019,Louisiana,0,7,7,Seven people were injured in a shooting outside of a night club after a fight escalated.
29/06/2019,Connecticut,0,4,4,"Police discovered two people wounded, while an additional two were self-transported to area hospitals."
29/06/2019,Illinois,0,5,5,Five people were wounded after gunfire broke out at a gathering in the Near West Side neighborhood.
28/06/2019,Georgia,0,7,7,Seven people were wounded during a drive-by shooting involving two vehicles.
28/06/2019,New Jersey,0,4,4,Four people were wounded by gunfire that erupted on a street.
28/06/2019,Connecticut,0,5,5,"Five people were wounded in a shooting, after police break up a house party."
28/06/2019,Minnesota,0,5,5,Five people were wounded in a shooting.
27/06/2019,Georgia,0,7,7,"Seven people were wounded, two critically, in a drive-by shooting in the Old Fourth Ward neighborhood."
26/06/2019,Ohio,1,3,4,"One man was killed and three others, including a boy, were wounded in a home invasion."
23/06/2019,California,5,0,5,A four-hour standoff ends after a man kills four people then himself.
23/06/2019,South Carolina,3,1,4,Two people were killed and two were wounded in a shooting at an apartment complex. One of the victims later died at the hospital from their injuries.
23/06/2019,Ohio,0,5,5,Five people were wounded in a drive-by shooting outside of a local motorcycle club.
23/06/2019,California,1,3,4,One person was killed and three others were injured after a drive-by shooting at a party.
23/06/2019,Indiana,1,10,11,One person was killed and ten were injured after the perpetrator opened fire on a patrons at a local bar.
22/06/2019,Pennsylvania,0,4,4,Four men were wounded by gunfire in an overnight shooting.
22/06/2019,Virginia,0,4,4,Two adults and two children were injured in a shooting at Buckroe Beach.
22/06/2019,Maryland,1,4,5,"A gunman opened fire on a crowd, killing a 19-year-old man and wounding four others."
21/06/2019,Michigan,1,3,4,"Four people were shot, one fatally, at a house on the city's west side."
21/06/2019,California,0,5,5,Five people were wounded in a drive-by shooting.
21/06/2019,Illinois,0,4,4,"Four people, including a pregnant woman, were wounded in a shooting outside of the Parkway Garden Homes apartment complex."
20/06/2019,Pennsylvania,0,10,10,Ten people were injured from gunfire outside of a nightclub.
18/06/2019,New Jersey,1,6,7,One man was killed and six others were injured after gunfire broke out in two separate locations in the downtown area.
17/06/2019,Texas,1,1,2,2019 Dallas courthouse shooting: One person was superficially injured and the perpetrator was killed in a shooting next to the Earle Cabell Federal Building.
17/06/2019,Texas,0,4,4,"Four people were injured from gunfire, after getting into an altercation with another motorist."
17/06/2019,Tennessee,0,5,5,Five people were wounded in the parking lot of an apartment complex.
16/06/2019,Pennsylvania,1,7,8,One person was killed and seven were injured at a graduation party. All of the victims are between 15 and 17 years of age.
16/06/2019,Kentucky,1,6,7,Five men and two women were discovered shot near a liquor store by police. One of the men later died at the hospital.
16/06/2019,Iowa,0,6,6,Six people were shot in a drive-by shooting while standing in the street after a party.
15/06/2019,Louisiana,0,4,4,Four people were wounded in a drive-by shooting outside of a nightclub.
15/06/2019,Iowa,4,0,4,"Three relatives, two children and two adults, were found dead from gunshot wounds in a house."
12/06/2019,North Carolina,1,3,4,An adult male was killed at a party in a rented Airbnb; a teenager and two other adults were injured.
11/06/2019,Georgia,2,2,4,Police responded to a scene and discovered two men deceased and two others injured.
11/06/2019,Colorado,0,4,4,Four people were wounded in an overnight shooting; the victims were self-transported to the hospital for treatment.
